Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,GID_2,GID_2_NAME,GID_3,GID_3_NAME,GID_4,GID_4_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,ActiveObservers,VisitedPollingStations
13 - სიღნაღი,12,,,,სიღნაღი-12,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,13,,,,სიღნაღი-13,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,14,,,,სიღნაღი-14,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,15,,,,სიღნაღი-15,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,16,,,,სიღნაღი-16,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,17,,,,სიღნაღი-17,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,18,,,,სიღნაღი-18,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,19,,,,სიღნაღი-19,,,,,,,,,,,1,0,1,1,20,3,1,0,1,1,1
13 - სიღნაღი,2,,,,სიღნაღი-2,,,,,,,,,,,1,2,11,0,252,2,1,1,0,1,1
13 - სიღნაღი,20,,,,სიღნაღი-20,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,21,,,,სიღნაღი-21,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,22,,,,სიღნაღი-22,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,23,,,,სიღნაღი-23,,,,,,,,,,,1,5,11,1,630,5,1,1,1,1,1
13 - სიღნაღი,24,,,,სიღნაღი-24,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,25,,,,სიღნაღი-25,,,,,,,,,,,1,6,9,1,750,24,1,1,1,1,1
13 - სიღნაღი,3,,,,სიღნაღი-3,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,4,,,,სიღნაღი-4,,,,,,,,,,,1,0,1,1,20,3,1,0,1,1,1
13 - სიღნაღი,5,,,,სიღნაღი-5,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,6,,,,სიღნაღი-6,,,,,,,,,,,1,0,11,1,126,3,1,0,1,1,1
13 - სიღნაღი,7,,,,სიღნაღი-7,,,,,,,,,,,1,4,11,0,508,8,1,1,0,1,1
13 - სიღნაღი,8,,,,სიღნაღი-8,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
13 - სიღნაღი,9,,,,სიღნაღი-9,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,1,,,,დედოფლისწყარო-1,,,,,,,,,,,1,4,11,0,504,0,1,1,0,1,1
14 - დედოფლისწყარო,10,,,,დედოფლისწყარო-10,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,11,,,,დედოფლისწყარო-11,,,,,,,,,,,1,9,11,1,1134,36,1,1,1,1,1
14 - დედოფლისწყარო,12,,,,დედოფლისწყარო-12,,,,,,,,,,,1,15,11,1,1920,15,1,1,1,1,1
14 - დედოფლისწყარო,13,,,,დედოფლისწყარო-13,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,14,,,,დედოფლისწყარო-14,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
14 - დედოფლისწყარო,15,,,,დედოფლისწყარო-15,,,,,,,,,,,1,1,11,0,90,0,1,1,0,1,1
